tweet,rotulo
"Se eu fosse votar baseada no que está escrito nos planos de governo dos candidatos, meu voto seria da Simone Tebet, mas (MAS!!) como eu dou meu voto por outros motivos (principalmente tirar o que lá está) e não quero arriscar, então não será dessa vez! ",negativo
O ATIVISMO cada dia mais forte.  Aonde Vamos Parar. Acabou a LIBERDADE de VEZ. Você não é mais dono do seu nariz.  Atitudes JÁ,positivo
É por isso que o Bolsonaro PRECISA ganhar essa eleição !!!,positivo
"Posto Ipiranga na subida da Grajaú - Jacarepaguá no Rio de Janeiro. Obrigada, meu presidente ⁦ @jairbolsonaro ⁩ ",positivo
"Eu pra ser sincero já tô saco cheio com esse poderes que estão colocando sobre nossa país STF e TRE, poderes de merda e só vai piorar viu, eles vão fazer com o Bolsonaro o que fizeram com Donald Trump, minha amiga comentou do lá EUA, faz 20 min da inflação deles.",positivo
ESTOU COM LULA! Pelo Brasil da esperança! Faltam 29 dias...  #LulaPresidente13 #LulaNo1ºTurno #BrasilDaEsperança,negativo
"Os funcionários do PT estão perseguindo todos aqueles que apoiam o presidente Bolsonaro, estamos vivendo numa ditadura.  TSE determina que redes sociais derrubem postagens do cantor Latino contra Luiz Inácio Lula da Silva ☛",negativo
#Lulaladrão lula é  bandido,negativo
Torno a dizer que não julgo quem vota em Ciro Gomes,positivo
Voto Útil não vai para Inúteis Aqui é Ciro Gomes!!!  #cirogomespresidente  #cirogomes2022  #Ciro12  #CiroPresidente12,positivo
Minha colinha no RS  Presidente:  @cirogomes  12  Governador:  @VieiraPDT  12 Senador:  @Profnado  700 Dep. Federal:  @JulianaBrizola  1234 Dep. Estadual:  @EngZini  12120  E a de vocês?,positivo
Minha colinha em Santa Catarina:   Presidente: @cirogomes 12  Governador: @jorgeboeira_ 12 Senadora: @hildadeola 123  Dep. Federal: @JordanaSage_ 1200 Dep. Estadual: em dúvida  E a de vocês?,positivo
"Corre aqui rapidão  @simonetebetbr  ... quis calar a voz da 1a Dama, mas estaremos, todos dias, postando.  Só acho  #BolsonaroTemRazao",neutro
Esse é o vídeo vetado?!,positivo
Isso aqui é muito bom.,positivo
"Debate mudou alguma coisa na corrida presidencial?  Lula se manteve estável e Jair Bolsonaro acabou variando um ponto para baixo. Com margem de erro de 2 pontos, nada mudou. Simone Tebet manteve os 4% da pesquisa anterior. #NemJair #NemSimone ",negativo
"vou pra passeata de Bolsonaro com mãe, quem vai comigo? quero dar um beijo gay lá no meio",positivo
Justiça eleitoral determina busca e apreensão na casa de Sergio Moro #CNNnasEleições https://cnnbr.app/short/c2005214590/…,positivo
"BOLSONARO MENTE SOBRE O AUXÍLIO DE 600,00. CANALHA!!!",positivo
"LULA GENOCIDA! LULA GENOCIDA!! LULA GENOCIDA!! PODE, CARMEM LUCIA CALA A BOCA JÁ MORREU!!??",negativo
"Me fala o nome de 1 daqueles 9 , que foram colocados por outros governos, que tenha caráter, vergonha na cara, não tem são uns canalhas.",positivo
Sempre foi. Mas o desespero ta batendo.  @LulaOficial  por favor! Vc vai ganhar. E em um decreto só ACABE COM O SIGILO DE 100 ANOS. Queremos ver esse verme na cadeia!,positivo
"Acho que Bolsonaro está um pouco perdido. Ele mesmo não nega que não sabe governar, que não entende de política, nem de economia.",positivo
Bora decidir no primeiro turno! Lula 13 presidente! Pesquisa Presidencial IPESPE de 30/08 a 01/09:   Lula (PT): 44%  Coiso (PL): 35%  Paris (PDT): 9%  Tibiti (MDB): 5% Os demais candidatos pontuaram 1% ou menos  Brancos e Nulos: 3%  Indecisos: 2%,negativo
"Ouça da boca do próprio Ciro Gomes:   ""Não acho que Lula seja ladrão; nunca disse isso""",positivo
"A matemática petista é matemática de malandro passando troco pra cego. Em um universo de 100%, se alguém aumenta seu percentual de votos, outro alguém os terá diminuídos. Se  @cirogomes  aumenta seus votos,  @jairbolsonaro  ou  @LulaOficial , automaticamente,  perderão votos. ",positivo
Viu isto  @cirogomes  .  #LulaPresidente13 #LulaNo1ºTurno,positivo
Não é estranho q Circo Gomes  e Simone Tebet tenham os medmos percentuais em 2 pesquisas diferentes ( Datafolha e XP Ipespe) ? Está me cheirando a armação para forçar a eleiçào p/ o 2° Turno !,neutro
Só mais um pouquinho  @simonetebetbr,neutro
Simone não quer que as mulheres saibam o que o governo está fazendo.,negativo
Mulheres com o Bolsonar!! elas amam o Pres1dente!!  (com todo respeito Michelle),positivo
Corre aqui  @simonetebetbr,neutro
"Em apenas 10 horas, a odd do Lula caiu de 1.80 para 1.61, enquanto a de Bolsonaro subiu de 1.90 para 2.20.  Informação do robô de odds  @bot365br",negativo
"Deve see difícil ser Rockeiro e Bolsonarista né. Não pode nem ir mais em show de Rock sem passar raiva com a galera gritando ""HEY BOLSONARO VAI TOMAR NO C*""   Daqui a pouco só vai sobrar boteco do Gustavo Lima pra esses Bolsonaristas Rockeiros irem ",positivo
"Sérgio Moro traiu Bolsonaro a pedido do Dória que também tentou puxar o Paulo Guedes, sem sucesso. Mesmo assim, nós eleitores de Bolsonaro, não podemos compactuar com essa ação arbitrária ""a mando"" do PT. Isso é a maior prova do aparelhamento da Justiça com a esquerda corrupta.",positivo
"Em apenas 10 horas, a odd do Lula caiu de 1.80 para 1.61, enquanto a de Bolsonaro subiu de 1.90 para 2.20.  Informação do robô de odds  @bot365br",negativo
a carreata do júnior mano passando na minha rua e minha irmã gravando pensando que era a do lula kakakakakakakkakakakak,negativo
Imagina quando lula for eleito a festa que Olinda vai antecipar o carnaval de Pernambuco.,negativo
Eita povo lindo! Dá gosto de ouvir! Aqui em Pernambuco miliciano genocida não se cria! #LulaNoPrimeiroTurno ,positivo
Quem vota no Ciro Gomes não está tão preocupado assim se o Bolsonaro for reeleito.,neutro
"Começa assim: ""se você votar no Bolsonaro, você é fascista"". Em seguida, ""se você votar no candidato que tira voto do Lula, então é fascista"". Por fim, ""se você não votar no Lula, só pode ser  fascista mesmo"". Lembrando que, claro, tudo isso é em nome da mais fofa democracia.",negativo
Olha vou ser bem sincero! Não aperto 22 e 13 nem no elevador!   Mas estou seriamente pensando e apertar o 12!   Tenho críticas ferrenhas ao  @cirogomes ! Mas é um cara que pelo menos não vai se juntar ao PT e nem ao Bolsonarismo! Acho pq na hora não sei...  Diz aí  @cirogomes,positivo
"Ouça da boca do próprio Ciro Gomes:   ""Não acho que Lula seja ladrão; nunca disse isso""",positivo
O homem é o lobo do homem.  Né não  @simonetebetbr,neutro
Olha isso dona  @simonetebetbr,neutro
Fala Primeira Dama..para as Mulheres do Brasil.,positivo
Simone não quer que as mulheres saibam o que o governo está fazendo.,negativo
Recordando para as defensoras... @simonetebetbr   @SorayaThronicke,neutro
"Quando eu fiz esse recorte do Otto Alencar fazendo isso com Nise Yamaguchi eu quase perdi minha conta de tanto que xinguei esse cara.  Simone Tebet que ""cala mulher"" não disse um ""pio""   Relembre quem é e como age o lulista, Otto Alencar ""que deu o ESCULACHO naquela japonesa.""",negativo
daria meu cu 29 vezes para o bolsonaro para ir no show do alok no rock in rio,positivo
Governo Bolsonaro chama servidores para 7 de Setembro,positivo
To cada dia mais convicto de que minha teoria sobre o Bolsonaro tá correta e um dia isso vai vazar na mídia,positivo
O bolsonaro tá pouco se fudendo para os pobres,positivo
Encontro com quebradeiras de Coco do Maranhão.   : @ricardostuckert,positivo
É Lula de novooooo....vivaaaaaaa.,negativo
"Partidos da ""base de apoio"" de  @alvarodias_   e o  @PodemosSenado   em sua ""coerência""; PT, PC do B, PV. Entram com ação INTIMIDATÓRIA contra candidatura de  @SF_Moro  ... Interessante são seus apoiadores: Lula, José Dirceu, Renato Duque, Que vexame! Só condenados por corrupção! ...",negativo
O Lula chama o Bolsonaro de genocida e o TSE não faz nada.  O Sérgio Moro sofre busca e apreensão por usar um tamanho de fonte não apropriado.  Cadê a resistência burra?,negativo
Se defende  @cirogomes  . Vai me dizer que é Fake News ?,positivo
É doloroso acreditar que cena tão chocante aconteça no nosso Brasil. Impossível alguém assistir este vídeo e não se sentir um bebê desprotegido ou uma mãe em desespero. Punição rigorosa para este monstro!,positivo
A fraude do ensino em SOBRAL-CE,positivo
Meu Deus!! Ciro gomes é uma fraude. Que absurdo isso!!,positivo
A fraude do ensino em SOBRAL-CE,positivo
"Primeira-dama evitou citar nomes, mas fez referência a uma ação interpelada por Simone Tebet",negativo
Obrigado pela divulgação   @simonetebetbr  que tiro no pé ,neutro
"Vamos compartilhar ainda mais!  Você não me representa ""Stebetch""  A Michele Bolsonaro sim me representa!!",positivo
eu quero que vocês deem essas moedas pra simone tebet:,negativo
FIQUE POR DENTRO  BOMBA! URGENTE! CENSURA!  MInistro Alexandre de Moraes/TSE mandou retirar todas as FOTOS do presidente BOLSONARO!!!  Está acontecendo somente em Uberlândia ou também em todo o Brasil? Dia 07 de Setembro será TSUNAMI.,positivo
Ei Bolsonaro vai toma Cu !!!  @AndreJanonesAdv   @LulaOficial   vai ser no primeiro TURNO,positivo
Olha que legal! @medoedeliriobr #ForaBolsonaro #RockInRio,positivo
"Quando falam q o Bolsonaro é Mito, alguns colocam em dúvida, mas vejam o q ele fez. Fez a Globo mudar até a logo das eleições, kkkkkkk",positivo
Ei Bolsonaro vai toma Cu !!!  @AndreJanonesAdv   @LulaOficial   vai ser no primeiro TURNO,positivo
Olha que legal! @medoedeliriobr #ForaBolsonaro #RockInRio,positivo
eu vou desvirar petista não tô brincando lula derruba isso,negativo
Lula roubou a brisanet,negativo
"Diz a lenda que irrita o tchutchuca chamar ele de tchutchuca, então não usem esse áudio nem decorem a dancinha da Tchutchuca do Centrão, hein?  Faltam 5 semanas! ",positivo
cirogomes: É doloroso acreditar que cena tão chocante aconteça no nosso Brasil. Impossível alguém assistir este vídeo e não se sentir um bebê desprotegido ou uma mãe em desespero. Punição rigorosa para este monstro!,positivo
"cirogomes: Hoje temos mais um encontro AO VIVO na #CiroTV – diretamente do Aglomerado da Serra, em Belo Horizonte! Acompanhe a transmissão do nosso quarto programa eleitoral completo, com direito a muitos reacts, interação com quem estiver participando e…",positivo
Amazônia hoje! Vergonha nacional!  @governofederal  @governofederaal  @agenciapublica  @InfoAmazonia  @gov_pf  @randolfeap  @JanainaDoBrasil  @felipeneto  @Zambelli2210  @SF_Moro  @alexandre  @LRobertoBarroso  @cirogomes  @inmet_  @dsrinpe  @gov_mcti,positivo
"Olha ele aí de novo!!! Vou rtt até cansar. E quando cansar, vou rtt novamente, só porque a  @simonetebetbr  não quer ",positivo
pois é né amigo - esse vídeo sempre insiste em voltar em nossa time line - acho que é porque é uma lindeza só twitter.com/TOMAZ_CHACAL/s…,positivo
ainda impactado com a gay me dizendo ontem que vai votar na Simone Tebet.,negativo
"Lula, Ciro e Tebet se solidarizam com Kirchner; Bolsonaro 'manda notinha'",negativo
"Ela é bem grandinha, a mulher do Bolsonaro é atacada também eu não vi o Sr se indignar. “Gabinete do ódio” só de um lado? O Sr tem um passado que não o qualifica para defender as mulheres. Mais ódio que o Lula destila não tem pra ninguém.",negativo
"Bolsonaro e seu gabinete do ódio resolveram atacar a advogada e apresentadora Gabriela Prioli. A tentativa de intimidação é grave e deve ser investigada. Minha solidariedade, @GabrielaPrioli.",positivo
falando sério. o inimigo número um do Bolsonaro é ele mesmo. se não abrir o olho ainda prejudicar as carreiras dos filhos.porque  ele já tá velho. só sabe dar mal exemplo pro filhos. boa noite.,positivo
"É O ODIADO PELO ""CRAMULHÃO"" @paura_patricia  @jairbolsonaro  @carlosjordy  @FlavioBolsonaro  @DireitaRio2017  @ptb14",positivo
"Lula, Ciro e Tebet se solidarizam com Kirchner; Bolsonaro 'manda notinha'",negativo
"Ela é bem grandinha, a mulher do Bolsonaro é atacada também eu não vi o Sr se indignar. “Gabinete do ódio” só de um lado? O Sr tem um passado que não o qualifica para defender as mulheres. Mais ódio que o Lula destila não tem pra ninguém.",negativo
"Bolsonaro e seu gabinete do ódio resolveram atacar a advogada e apresentadora Gabriela Prioli. A tentativa de intimidação é grave e deve ser investigada. Minha solidariedade, @GabrielaPrioli.",positivo
Até eu que fiquei do lado dele de 2018 até 2021 vou votar no Lula pra evitar isso,negativo
Quer votar no Ciro? Vota. Mas assuma a responsabilidade que ao votar no Ciro e tebet a única coisa que vc está fazendo é criar um cenário de segundo turno para o Bolsonaro. É isso,positivo
"A VERDADE SEMPRE VENCE! Brasil, urgente! Lula PRESIDENTE! https://instagram.com/p/CiDysfRuBF3KxbEj3iSuvhcCM6rtboEqF9DcUc0/?igshid=YTgzYjQ4ZTY=…",negativo
Lula e Sergio Moro: Teatro.   Ciro Gomes: educação  ,positivo
"'Não me intimidarão', diz Moro após busca e apreensão a pedido do PT https://zpr.io/UGFwCyJcC4Y8",positivo
Ciro Gomes está confiante e isso dá confiança aos militantes e eleitores. E causa aflição aos adversários.,positivo
"Independente do resultado das eleições o Ciro Gomes já venceu pois são as ideias que ele apresentou nos últimos anos que pautam o debate brasileiro.   Todos os adversários copiam suas propostas, a questão é: será que esses vão cumprir ou querem apenas seu voto?",neutro
Seu precioso voto é a chance que Ciro Gomes precisa para mudar o Brasil pra melhor! Precisamos de PAZ e muito trabalho! #CiroPresidente12  @cirogomes,positivo
Receba!! @simonetebetbr,neutro
Interrompemos Nossa Programação para a Propaganda Eleitoral Gratuita @simonetebetbr,neutro
"“Simone Tebet está com as mãos manchadas de sangue indígena do MS”, diz ... https://youtu.be/3HPKXJgM86s via  @YouTube",negativo
O qq esse povo almoça pra jogar voto fora em Simone tebet???,negativo
Bolsonaro genocida  Fora Bolsonaro  Bolsonaro miliciano/família quadrilha Pai  @LulaOficial  você me representa.,positivo
Nossa!! Nunca ouvi falar do seu nome Isso é fake News? Fora Bolsonaro Fora genocida,positivo
"Alguém do  @TSEjusbr  vai banir vídeos de ""artistas"" contra o Presidente  @jairbolsonaro , se forem provocados?",positivo
Artista só pode se posicionar se for pra apoiar Ladrão  Tudo pela lisura do processo eleitoral,positivo
Eu quero ver a família bolsonaro na PRISÃO!,positivo
"obviamente o  @LulaOficial  não vai ganhar; com ele, a melancia socada dentro do seu cu seria da grande; com  @jairbolsonaro  e militância vai ser a mesma coisa porém empedernidos de base maqueávica eles iludem ainda mais otários #bolsonarista",positivo
"Sabemos o real motivo da chapa Alckmim e Lula, nada mais e nada menos que sintonia de caráter. Um bebe e outro come a merenda. ",negativo
"Cerco a carro de candidato, drone com veneno, bomba caseira, assassinato de militante político em aniversário, atentado na Argentina, troca de tiros dentro de igreja por discussão política em Goiás: e ainda me perguntam por qual razão me uni ao presidente @LulaOficial +",positivo
Lula não foi machista ao falar a seus eleitores no Maranhão! Ele tem defendido mais direitos para as mulheres e feito discursos históricos contra a cultura do patriarcado. A manchete maldosa do jornal Estadão (que gafe!) espalhou a mentira.  https://verdadenarede.com.br/lula-quer-mais-direitos-para-as-mulheres-e-nao-foi-machista-2/…,negativo
O Ciro Gomes precisa se tornar presidente do Brasil para melhorar a educação do nosso povo. Esse aqui faltou as aulas de matemática básica.,positivo
"Dica aos militantes do Ciro Gomes: se vocês querem mesmo fazer o Ciro subir, não se preocupem com hashtag no Twitter, mas sim em fazer o dever de casa: convencer seus familiares a votarem nele.",neutro
Lula e Sergio Moro: Teatro.   Ciro Gomes: educação  ,positivo
"'Não me intimidarão', diz Moro após busca e apreensão a pedido do PT https://zpr.io/UGFwCyJcC4Y8",positivo
TSE acatou pedido da Simone Tebet pra tirar este vídeo do ar.  Simone Estepe não quer que as mulheres saibam o que o governo está fazendo.  @simonetebetbr   então vamos divulgar Patriotas #Bolsonaro22 #SouMulherEVotoBolsonaro,negativo
"Simone Tebet é a terceira vaia da Globo, né? Depois de Dória e Moro.",negativo
Bolsonaro diz que operação contra empresários aconteceu após “vagabundo” dar canetada. Busca e apreensão da Polícia Federal foi autorizada por Alexandre de Moraes após o Metrópoles revelar a defesa de um golpe de Estado em grupo de WhatsApp.,positivo
"bin mandando um ""ei bolsonaro vai tomar no cu"" no meio do palco do rock in rio QUE HOMEM",positivo
CHAMOU O BOLSONARO DE BURRO E AGORA PASSA VERGONHA ! https://youtu.be/kFPabdVddd8 via  @YouTube,neutro
Eu acho o renan bolsonaro bonitinho,positivo
"LULA QUER DIVIDIR O BRASIL ENTRE MINORIAS  ""Nós vamos recriar o Ministério das Mulheres. Nós vamos criar um Ministério dos Povos Originários. Nós vamos criar o Ministério da Igualdade Racial. Quero que todo mundo tenha o direito de ter o mínimo necessário."" PIADA?",positivo
mulher? que não vai votar no lula? veio com defeito gatinha ,negativo
minha mina disse que pós-endoscopia eu fiquei pedindo votos para o lula,negativo
Votar Nulo = não decide eleição  Votar Ciro = Bolsonaro no 2 turno Votar Simone = Bolsonaro 2 turno  VOTE LULA 13 !   #LulaNoPrimeiroTurno  @LulaOficial,negativo
Quem será o Lula do troco no ano que vem? A) Deus B) São Jorge C) Beth Faria,negativo
gente se duvidar ate minha mae pra síndica do prédio faz mais votos que o ciro gomes votar nesse homem é apenas dar uma oportunidade pro bolson*ro vencer,positivo
"Procede, Seu Ciro  @cirogomes  ?",positivo
"Dono de apartamento onde Ciro mora, diz que vai despejá-lo: “Não paga aluguel”   “O homem não administra nem o patrimônio dele, quer administrar o Brasil?”  https://jornaldacidadeonline.com.br/noticias/41902/dono-de-apartamento-onde-ciro-mora-diz-que-vai-despeja-lo-nao-paga-aluguel…",neutro
no próximo debate quero que falem sobre a diminuição do valor pra rinoplastia bora  @LulaOficial  @jairbolsonaro  @simonetebetbr  @cirogomes  @fdavilaoficial  @SorayaThronicke,positivo
Ciro Gomes vai promover o bolsa Adobe e Microsoft Office,positivo
Não pode publicar esse vídeo a Candidata  @simonetebetbr  que defende as mulheres acha um absurdo o protagonismo da Primeira Dama.,neutro
"Desculpem-me postar este vídeo novamente!! Mas, é porque a Simone Tebet e o TSE CENSURARAM ele na propaganda política do Presidente!",negativo
"Uma linda,mulher, elegantíssima,fala bem )fala até em libras)falando sobre as mulheres ,por onde passa as mulheres ama.por isso é recebida como uma Deusa .uma verdadeira Dama.como deve ter mulheres com inveja  linda e casada com um presidente amado  @jairbolsonaro  @simonetebetbr",positivo
Simone Tebet rebate Michelle Bolsonaro: “Ninguém está acima da lei” https://ift.tt/ZS6OaQ2 #F5Online,negativo
"A nossa 1a Dama é um exemplo de mulher e verdadeiramente me representa!! Orgulhosa de  vc, Michelle Bolsonro!!",positivo
"Lula 43% Bolsonaro 35% Ciro 27% Tebet 5% Brancos/Nulos 4% Indecisos 2% Pelas contas do Fernando Horta, né, vai dar 116%. Blz então",negativo
